Дата,Всего (накоп.),За сутки,Летальных всего,Летальных за сутки
2021-06-07,38093,33,416,0
2021-06-08,38136,43,419,3
2021-06-09,38181,45,421,2
2021-06-10,38229,48,423,2
2021-06-11,38279,50,423,0
2021-06-12,38323,44,426,3
2021-06-13,38368,45,430,4
2021-06-14,38413,45,432,2
2021-06-15,38462,49,435,3
2021-06-16,38515,53,437,2
2021-06-17,38573,58,440,3
2021-06-18,38636,63,441,1
2021-06-19,38695,59,441,0
2021-06-20,38759,64,442,1
2021-06-21,38828,69,442,0
2021-06-22,38903,75,442,0
2021-06-23,38985,82,446,4
2021-06-24,39075,90,446,0
2021-06-25,39173,98,451,5
2021-06-26,39280,107,455,4
2021-06-27,39393,113,458,3
2021-06-28,39501,108,458,0
2021-06-29,39616,115,461,3
2021-06-30,39737,121,464,3
2021-07-01,39864,127,466,2
2021-07-02,39997,133,471,5
2021-07-03,40132,135,474,3
2021-07-04,40271,139,476,2
2021-07-05,40411,140,481,5
2021-07-06,40553,142,483,2
2021-07-07,40697,144,487,4
2021-07-08,40844,147,491,4
2021-07-09,40990,146,494,3
2021-07-10,41130,140,497,3
2021-07-11,41271,141,497,0
2021-07-12,41401,130,502,5
2021-07-13,41531,130,507,5
2021-07-14,41660,129,509,2
2021-07-15,41793,133,514,5
2021-07-16,41924,131,514,0
2021-07-17,42052,128,515,1
2021-07-18,42179,127,517,2
2021-07-19,42304,125,521,4
2021-07-20,42429,125,524,3
2021-07-21,42556,127,528,4
2021-07-22,42684,128,530,2
2021-07-23,42809,125,535,5
2021-07-24,42931,122,538,3
2021-07-25,43054,123,542,4
2021-07-26,43174,120,547,5
2021-07-27,43290,116,549,2
2021-07-28,43408,118,553,4
2021-07-29,43523,115,555,2
2021-07-30,43642,119,560,5
2021-07-31,43758,116,563,3
2021-08-01,43874,116,566,3
2021-08-02,43989,115,568,2
2021-08-03,44104,115,573,5
2021-08-04,44217,113,578,5
2021-08-05,44327,110,582,4
2021-08-06,44435,108,586,4
2021-08-07,44547,112,589,3
2021-08-08,44656,109,594,5
2021-08-09,44762,106,594,0
2021-08-10,44865,103,599,5
2021-08-11,44972,107,601,2
2021-08-12,45081,109,604,3
2021-08-13,45188,107,608,4
2021-08-14,45292,104,613,5
2021-08-15,45394,102,616,3
2021-08-16,45502,108,621,5
2021-08-17,45607,105,626,5
2021-08-18,45711,104,628,2
2021-08-19,45813,102,631,3
2021-08-20,45918,105,637,6
2021-08-21,46018,100,641,4
2021-08-22,46119,101,644,3
2021-08-23,46216,97,646,2
2021-08-24,46321,105,651,5
2021-08-25,46424,103,655,4
2021-08-26,46519,95,660,5
2021-08-27,46616,97,662,2
2021-08-28,46715,99,668,6
2021-08-29,46806,91,671,3
2021-08-30,46894,88,675,4
2021-08-31,46983,89,677,2
2021-09-01,47068,85,681,4
2021-09-02,47160,92,685,4
2021-09-03,47250,90,685,0
2021-09-04,47337,87,690,5
2021-09-05,47421,84,692,2
2021-09-06,47512,91,696,4
2021-09-07,47607,95,699,3
2021-09-08,47697,90,701,2
2021-09-09,47788,91,703,2
2021-09-10,47879,91,706,3
2021-09-11,47975,96,709,3
2021-09-12,48073,98,713,4
2021-09-13,48170,97,715,2
2021-09-14,48262,92,719,4
2021-09-15,48359,97,721,2
2021-09-16,48461,102,724,3
2021-09-17,48568,107,726,2
2021-09-18,48685,117,730,4
2021-09-19,48808,123,735,5
2021-09-20,48935,127,739,4
2021-09-21,49065,130,744,5
2021-09-22,49197,132,746,2
2021-09-23,49336,139,750,4
2021-09-24,49485,149,754,4
2021-09-25,49633,148,759,5
2021-09-26,49787,154,763,4
2021-09-27,49942,155,769,6
2021-09-28,50101,159,769,0
2021-09-29,50265,164,769,0
2021-09-30,50433,168,773,4
2021-10-01,50606,173,777,4
2021-10-02,50788,182,782,5
2021-10-03,50979,191,786,4
2021-10-04,51176,197,792,6
2021-10-05,51375,199,797,5
2021-10-06,51578,203,799,2
2021-10-07,51787,209,805,6
2021-10-08,52005,218,811,6
2021-10-09,52230,225,816,5
2021-10-10,52459,229,823,7
2021-10-11,52691,232,828,5
2021-10-12,52926,235,832,4
2021-10-13,53163,237,832,0
2021-10-14,53406,243,832,0
2021-10-15,53653,247,835,3
2021-10-16,53905,252,839,4
2021-10-17,54159,254,846,7
2021-10-18,54413,254,852,6
2021-10-19,54672,259,852,0
2021-10-20,54933,261,856,4
2021-10-21,55202,269,862,6
2021-10-22,55476,274,869,7
2021-10-23,55757,281,874,5
2021-10-24,56039,282,880,6
2021-10-25,56321,282,884,4
2021-10-26,56600,279,886,2
2021-10-27,56881,281,893,7
2021-10-28,57165,284,897,4
2021-10-29,57454,289,897,0
2021-10-30,57744,290,904,7
2021-10-31,58032,288,909,5
2021-11-01,58317,285,909,0
2021-11-02,58603,286,915,6
2021-11-03,58887,284,919,4
2021-11-04,59174,287,924,5
2021-11-05,59464,290,931,7
2021-11-06,59756,292,936,5
2021-11-07,60047,291,940,4
2021-11-08,60336,289,947,7
2021-11-09,60630,294,954,7
2021-11-10,60925,295,958,4
2021-11-11,61220,295,962,4
2021-11-12,61513,293,968,6
2021-11-13,61808,295,973,5
2021-11-14,62100,292,977,4
2021-11-15,62387,287,981,4
2021-11-16,62672,285,988,7
2021-11-17,62959,287,994,6
2021-11-18,63243,284,1001,7
2021-11-19,63525,282,1006,5
2021-11-20,63801,276,1013,7
2021-11-21,64073,272,1018,5
2021-11-22,64340,267,1025,7
2021-11-23,64600,260,1031,6
2021-11-24,64856,256,1035,4
2021-11-25,65101,245,1043,8
2021-11-26,65337,236,1048,5
2021-11-27,65561,224,1055,7
2021-11-28,65775,214,1063,8
2021-11-29,65977,202,1069,6
2021-11-30,66175,198,1073,4
2021-12-01,66368,193,1081,8
2021-12-02,66557,189,1086,5
2021-12-03,66747,190,1092,6
2021-12-04,66934,187,1098,6
2021-12-05,67119,185,1103,5
2021-12-06,67304,185,1111,8
2021-12-07,67484,180,1117,6
2021-12-08,67663,179,1123,6
2021-12-09,67840,177,1128,5
2021-12-10,68017,177,1135,7
2021-12-11,68193,176,1140,5
2021-12-12,68367,174,1148,8
2021-12-13,68539,172,1153,5
2021-12-14,68711,172,1161,8
2021-12-15,68884,173,1161,0
2021-12-16,69055,171,1168,7
2021-12-17,69225,170,1173,5
2021-12-18,69393,168,1181,8
2021-12-19,69560,167,1186,5
2021-12-20,69727,167,1191,5
2021-12-21,69889,162,1195,4
2021-12-22,70051,162,1200,5
2021-12-23,70208,157,1206,6
2021-12-24,70365,157,1214,8
2021-12-25,70520,155,1220,6
2021-12-26,70672,152,1225,5
2021-12-27,70824,152,1231,6
2021-12-28,70976,152,1239,8
2021-12-29,71121,145,1239,0
2021-12-30,71261,140,1246,7
2021-12-31,71381,120,1251,5
2022-01-01,71500,119,1257,6
2022-01-02,71605,105,1263,6
2022-01-03,71704,99,1271,8
2022-01-04,71781,77,1276,5
2022-01-05,71859,78,1279,3
2022-01-06,71937,78,1286,7
2022-01-07,72012,75,1294,8
2022-01-08,72088,76,1299,5
2022-01-09,72164,76,1307,8
2022-01-10,72243,79,1313,6
2022-01-11,72322,79,1318,5
2022-01-12,72408,86,1322,4
2022-01-13,72504,96,1326,4
2022-01-14,72615,111,1334,8
2022-01-15,72740,125,1340,6
2022-01-16,72875,135,1345,5
2022-01-17,73015,140,1352,7
2022-01-18,73154,139,1357,5
2022-01-19,73298,144,1361,4
2022-01-20,73444,146,1361,0
2022-01-21,73596,152,1369,8
2022-01-22,73755,159,1374,5
2022-01-23,73925,170,1381,7
2022-01-24,74106,181,1386,5
2022-01-25,74299,193,1391,5
2022-01-26,74500,201,1398,7
2022-01-27,74712,212,1404,6
2022-01-28,74937,225,1410,6
2022-01-29,75174,237,1414,4
2022-01-30,75423,249,1421,7
2022-01-31,75680,257,1427,6
2022-02-01,75963,283,1432,5
2022-02-02,76258,295,1438,6
2022-02-03,76578,320,1443,5
2022-02-04,76947,369,1451,8
2022-02-05,77366,419,1457,6
2022-02-06,77820,454,1464,7
2022-02-07,78327,507,1468,4
2022-02-08,78864,537,1476,8
2022-02-09,79451,587,1481,5
2022-02-10,80100,649,1481,0
2022-02-11,80803,703,1488,7
2022-02-12,81563,760,1491,3
2022-02-13,82374,811,1499,8
2022-02-14,83236,862,1504,5
2022-02-15,84116,880,1511,7
2022-02-16,85041,925,1511,0
2022-02-17,85993,952,1518,7
2022-02-18,86990,997,1522,4
2022-02-19,88032,1042,1525,3
2022-02-20,89030,998,1533,8
2022-02-21,90001,971,1538,5
2022-02-22,90970,969,1543,5
2022-02-23,91907,937,1549,6
2022-02-24,92839,932,1549,0
2022-02-25,93764,925,1557,8
2022-02-26,94681,917,1562,5
2022-02-27,95601,920,1568,6
2022-02-28,96526,925,1572,4
2022-03-01,97443,917,1578,6
2022-03-02,98330,887,1583,5
2022-03-03,99179,849,1588,5
2022-03-04,99969,790,1592,4
2022-03-05,100720,751,1596,4
2022-03-06,101426,706,1603,7
2022-03-07,102060,634,1608,5
2022-03-08,102511,451,1616,8
2022-03-09,102744,233,1622,6
2022-03-10,103168,424,1628,6
2022-03-11,103527,359,1633,5
2022-03-12,103818,291,1638,5
2022-03-13,103988,170,1645,7
2022-03-14,104090,102,1651,6
2022-03-15,104340,250,1655,4
2022-03-16,104588,248,1655,0
2022-03-17,104834,246,1663,8
2022-03-18,105078,244,1668,5
2022-03-19,105315,237,1672,4
2022-03-20,105518,203,1677,5
2022-03-21,105675,157,1682,5
2022-03-22,105901,226,1687,5
2022-03-23,106125,224,1693,6
2022-03-24,106324,199,1699,6
2022-03-25,106519,195,1703,4
2022-03-26,106669,150,1710,7
2022-03-27,106774,105,1715,5
2022-03-28,106802,28,1715,0
2022-03-29,106952,150,1723,8
2022-03-30,107097,145,1727,4
2022-03-31,107208,111,1730,3
2022-04-01,107314,106,1733,3
2022-04-02,107406,92,1738,5
2022-04-03,107489,83,1742,4
2022-04-04,107568,79,1744,2
2022-04-05,107666,98,1750,6
2022-04-06,107767,101,1752,2
2022-04-07,107862,95,1755,3
2022-04-08,107953,91,1759,4
2022-04-09,108043,90,1761,2
2022-04-10,108129,86,1766,5
2022-04-11,108217,88,1770,4
2022-04-12,108306,89,1774,4
2022-04-13,108398,92,1777,3
2022-04-14,108483,85,1783,6
2022-04-15,108564,81,1787,4
2022-04-16,108654,90,1791,4
2022-04-17,108745,91,1793,2
2022-04-18,108831,86,1798,5
2022-04-19,108916,85,1802,4
2022-04-20,108987,71,1807,5
2022-04-21,109049,62,1810,3
2022-04-22,109105,56,1810,0
2022-04-23,109160,55,1810,0
2022-04-24,109213,53,1810,0
2022-04-25,109265,52,1811,1
2022-04-26,109327,62,1813,2
2022-04-27,109386,59,1815,2
2022-04-28,109444,58,1816,1
2022-04-29,109504,60,1817,1
2022-04-30,109559,55,1820,3
2022-05-01,109605,46,1822,2
2022-05-02,109644,39,1823,1
2022-05-03,109677,33,1824,1
2022-05-04,109706,29,1825,1
2022-05-05,109744,38,1827,2
2022-05-06,109784,40,1827,0
2022-05-07,109821,37,1830,3
2022-05-08,109855,34,1831,1
2022-05-09,109890,35,1831,0
2022-05-10,109924,34,1831,0
2022-05-11,109960,36,1832,1
2022-05-12,109998,38,1833,1
2022-05-13,110036,38,1833,0
2022-05-14,110077,41,1833,0
2022-05-15,110120,43,1835,2
2022-05-16,110162,42,1836,1
2022-05-17,110207,45,1836,0
2022-05-18,110252,45,1838,2
2022-05-19,110288,36,1838,0
2022-05-20,110312,24,1839,1
2022-05-21,110350,38,1839,0
2022-05-22,110385,35,1840,1
2022-05-23,110415,30,1840,0
2022-05-24,110450,35,1840,0
2022-05-25,110479,29,1841,1
2022-05-26,110511,32,1841,0
2022-05-27,110547,36,1842,1
2022-05-28,110586,39,1843,1
2022-05-29,110621,35,1843,0
2022-05-30,110649,28,1844,1
2022-05-31,110684,35,1844,0
2022-06-01,110709,25,1845,1
2022-06-02,110738,29,1846,1
2022-06-03,110765,27,1846,0
2022-06-04,110791,26,1846,0
2022-06-05,110801,10,1846,0
2022-06-06,110808,7,1846,0
2022-06-07,110832,24,1846,0
2022-06-08,110859,27,1847,1
2022-06-09,110882,23,1847,0
2022-06-10,110902,20,1848,1
2022-06-11,110921,19,1849,1
2022-06-12,110938,17,1850,1
2022-06-13,110953,15,1851,1
2022-06-14,110967,14,1852,1
2022-06-15,110991,24,1853,1
2022-06-16,111013,22,1854,1
2022-06-17,111032,19,1854,0
2022-06-18,111049,17,1854,0
2022-06-19,111063,14,1855,1
2022-06-20,111076,13,1855,0
2022-06-21,111093,17,1856,1
2022-06-22,111113,20,1857,1
2022-06-23,111132,19,1858,1
2022-06-24,111152,20,1860,2
2022-06-25,111172,20,1861,1
2022-06-26,111191,19,1861,0
2022-06-27,111208,17,1862,1
2022-06-28,111227,19,1862,0
2022-06-29,111245,18,1863,1
2022-06-30,111264,19,1864,1
2022-07-01,111283,19,1864,0
2022-07-02,111304,21,1865,1
2022-07-03,111324,20,1866,1
2022-07-04,111343,19,1866,0
2022-07-05,111360,17,1867,1
2022-07-06,111380,20,1868,1
2022-07-07,111402,22,1868,0
2022-07-08,111424,22,1868,0
2022-07-09,111442,18,1869,1
2022-07-10,111458,16,1869,0
2022-07-11,111473,15,1871,2
2022-07-12,111492,19,1871,0
2022-07-13,111512,20,1872,1
2022-07-14,111532,20,1872,0
2022-07-15,111554,22,1873,1
2022-07-16,111575,21,1873,0
2022-07-17,111592,17,1873,0
2022-07-18,111607,15,1874,1
2022-07-19,111625,18,1874,0
2022-07-20,111646,21,1875,1
2022-07-21,111668,22,1875,0
2022-07-22,111694,26,1876,1
2022-07-23,111724,30,1877,1
2022-07-24,111754,30,1878,1
2022-07-25,111783,29,1878,0
2022-07-26,111818,35,1878,0
2022-07-27,111857,39,1879,1
2022-07-28,111897,40,1879,0
2022-07-29,111945,48,1880,1
2022-07-30,111992,47,1881,1
2022-07-31,112029,37,1881,0
2022-08-01,112059,30,1882,1
2022-08-02,112097,38,1882,0
2022-08-03,112144,47,1883,1
2022-08-04,112199,55,1883,0
2022-08-05,112256,57,1883,0
2022-08-06,112322,66,1883,0
2022-08-07,112394,72,1884,1
2022-08-08,112464,70,1884,0
2022-08-09,112535,71,1885,1
2022-08-10,112612,77,1885,0
2022-08-11,112690,78,1885,0
2022-08-12,112783,93,1886,1
2022-08-13,112871,88,1886,0
2022-08-14,112966,95,1886,0
2022-08-15,113070,104,1886,0
2022-08-16,113180,110,1887,1
2022-08-17,113307,127,1887,0
2022-08-18,113453,146,1888,1
2022-08-19,113621,168,1888,0
2022-08-20,113791,170,1889,1
2022-08-21,113966,175,1889,0
2022-08-22,114150,184,1890,1
2022-08-23,114339,189,1891,1
2022-08-24,114532,193,1892,1
2022-08-25,114731,199,1892,0
2022-08-26,114929,198,1892,0
2022-08-27,115124,195,1892,0
2022-08-28,115304,180,1893,1
2022-08-29,115367,63,1893,0
2022-08-30,115551,184,1894,1
2022-08-31,115748,197,1894,0
2022-09-01,115959,211,1894,0
2022-09-02,116191,232,1895,1
2022-09-03,116440,249,1895,0
2022-09-04,116681,241,1896,1
2022-09-05,116933,252,1896,0
2022-09-06,117192,259,1897,1
2022-09-07,117442,250,1897,0
2022-09-08,117667,225,1898,1
2022-09-09,117894,227,1898,0
2022-09-10,118128,234,1898,0
2022-09-11,118371,243,1899,1
2022-09-12,118627,256,1899,0
2022-09-13,118885,258,1900,1
2022-09-14,119149,264,1901,1
2022-09-15,119416,267,1901,0
2022-09-16,119689,273,1902,1
2022-09-17,119980,291,1902,0
2022-09-18,120278,298,1904,2
2022-09-19,120583,305,1904,0
2022-09-20,120892,309,1905,1
2022-09-21,121222,330,1906,1
2022-09-22,121558,336,1908,2
2022-09-23,121897,339,1909,1
2022-09-24,122222,325,1909,0
2022-09-25,122428,206,1910,1
2022-09-26,122586,158,1911,1
2022-09-27,122835,249,1911,0
2022-09-28,123009,174,1912,1
2022-09-29,123179,170,1912,0
2022-09-30,123347,168,1913,1
2022-10-01,123495,148,1914,1
2022-10-02,123556,61,1915,1
2022-10-03,123598,42,1916,1
2022-10-04,123683,85,1917,1
2022-10-05,123777,94,1917,0
2022-10-06,123884,107,1918,1
2022-10-07,123985,101,1919,1
2022-10-08,124082,97,1920,1
2022-10-09,124173,91,1921,1
2022-10-10,124254,81,1921,0
2022-10-11,124342,88,1922,1
2022-10-12,124424,82,1923,1
2022-10-13,124498,74,1924,1
2022-10-14,124563,65,1925,1
2022-10-15,124611,48,1926,1
2022-10-16,124636,25,1927,1
2022-10-17,124646,10,1928,1
2022-10-18,124687,41,1929,1
2022-10-19,124730,43,1930,1
2022-10-20,124768,38,1930,0
2022-10-21,124810,42,1931,1
2022-10-22,124849,39,1931,0
2022-10-23,124886,37,1931,0
2022-10-24,124921,35,1932,1
2022-10-25,124960,39,1933,1
2022-10-26,124997,37,1933,0
2022-10-27,125025,28,1933,0
2022-10-28,125054,29,1933,0
2022-10-29,125079,25,1934,1
2022-10-30,125099,20,1934,0
2022-10-31,125115,16,1935,1
2022-11-01,125133,18,1935,0
2022-11-02,125156,23,1936,1
2022-11-03,125183,27,1936,0
2022-11-04,125204,21,1937,1
2022-11-05,125219,15,1937,0
2022-11-06,125229,10,1938,1
2022-11-07,125235,6,1938,0
2022-11-08,125252,17,1939,1
2022-11-09,125274,22,1939,0
2022-11-10,125295,21,1940,1
2022-11-11,125312,17,1940,0
2022-11-12,125328,16,1940,0
2022-11-13,125343,15,1941,1
2022-11-14,125355,12,1941,0
2022-11-15,125374,19,1941,0
2022-11-16,125394,20,1942,1
2022-11-17,125412,18,1942,0
2022-11-18,125426,14,1942,0
2022-11-19,125435,9,1943,1
2022-11-20,125444,9,1944,1
2022-11-21,125456,12,1945,1
2022-11-22,125471,15,1945,0
2022-11-23,125485,14,1946,1
2022-11-24,125497,12,1946,0
2022-11-25,125511,14,1946,0
2022-11-26,125522,11,1947,1
2022-11-27,125529,7,1947,0
2022-11-28,125533,4,1948,1
2022-11-29,125547,14,1948,0
2022-11-30,125564,17,1949,1
2022-12-01,125580,16,1949,0
2022-12-02,125594,14,1950,1
2022-12-03,125606,12,1950,0
2022-12-04,125619,13,1951,1
2022-12-05,125635,16,1951,0
2022-12-06,125654,19,1951,0
2022-12-07,125677,23,1951,0
2022-12-08,125699,22,1951,0
2022-12-09,125716,17,1951,0
2022-12-10,125730,14,1951,0
2022-12-11,125743,13,1951,0
2022-12-12,125756,13,1952,1
2022-12-13,125774,18,1952,0
2022-12-14,125787,13,1952,0
2022-12-15,125801,14,1952,0
